"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 06 09:57:43 BST 2020","Wed May 06 09:57:45 BST 2020","1444","","","","","","Browse acutesttraining PUBLICA‌-1 issue (should fail)",""
"passed","Wed May 06 09:57:40 BST 2020","Wed May 06 09:57:43 BST 2020","2880","","","","","","Browse acutesttraining PUBLICA‌-1 issue",""
